-156.5068102,20.8863831,Bailey House,,,,,,
-156.208218,20.885184,Bamboo Forest,,,,,,
-156.003763,20.788543,Black Sand Beach,,,,,,
-156.242191,20.911442,Coconut Stand,,,,,,
-157.824978,21.278384,Ez Market,,,,,,
-156.675088,20.875594,Gas - Cheapest,,,,,,
-156.592607,21.028718,Geocash,,,,,,
-156.365189,20.806232,Goat Farm,,,,,,
-156.252559,20.709854,Hakeakala Summit,,,,,,
-156.045645,20.661819,Haleakala Park Restroom,,,,,,
-156.252805,20.710249,Haleakala Red Hill,,,,,,
-156.246508,20.759752,Haleakala Visitor Center,,,,,,
-155.98666,20.750229,Hana Store,,,,,,
-155.040651,19.715256,Hilo Airport Gate 4,,,,,,
-156.545001,20.88105,Ioa,,,,,,
-156.546708,20.880438,Ioa Needle,,,,,,
-156.168657,20.871185,Kaumahina Park Lookout,,,,,,
-156.169245,20.871411,Kaumahina Restrooms,,,,,,
-156.148959,20.857164,Keanae Arboretum,,,,,,
-156.147579,20.862758,Keanae Peninsula,,,,,,
-156.535916,20.882856,Kepaniwai Park,,,,,,
-155.985499,20.728166,Koki Beach,,,,,,
-156.680033,20.870664,Lahaina Lighthouse,,,,,,
-156.682847,20.8867,Lahaina Mall,,,,,,
-155.089091,19.299268,Lava Flow,,,,,,
-155.237334,19.41483,Lava Tube,,,,,,
-156.055044,20.651219,Lindbergh Grave,,,,,,
-156.536026,20.7754,Lookout,,,,,,
-156.595202,21.02689,Lookout 1,,,,,,
-156.164668,20.860296,Lookout 10,,,,,,
-156.161567,20.862577,Lookout 11,,,,,,
-156.605134,21.026888,Lookout 2,,,,,,
-156.614532,21.023707,Lookout 3,,,,,,
-156.615953,21.023736,Lookout 4,,,,,,
-156.622373,21.022165,Lookout 5,,,,,,
-156.623507,21.022069,Lookout 6,,,,,,
-156.627209,21.022074,Lookout 7,,,,,,
-156.639435,21.017348,Lookout 8,,,,,,
-156.645705,21.010666,Lookout 9,,,,,,
-156.221687,20.900087,Lookout Heulo,,,,,,
-156.049033,20.665002,Makahiku Overlook,,,,,,
-156.694513,20.916124,Maui Hyatt 200 Nohea Kai Dr; Lahaina; HI 96761; 808-661-1234 200 Nohea Kai Dr; Lahaina; HI 96761; 808-661-1234,,,,,,
-156.506178,20.848934,Maui Plantation,,,,,,
-156.556503,20.788263,Maui Tunnel,,,,,,
-155.00926,19.656873,Mauna Loa Macadamia Macadamia Dr Macadamia Dr,,,,,,
-155.176436,19.453842,Orchid Greenhouse,,,,,,
-156.043214,20.663925,Pools of Oheo Lookout,,,,,,
-156.125067,20.817131,Puaa Kaa Restrooms,,,,,,
-156.186894,20.872244,Puahokamoa Falls,,,,,,
-155.108462,19.719137,Rainbow Falls,,,,,,
-155.984625,20.755753,Red Sand Beach,,,,,,
-156.139683,20.839857,State Wayside Park,,,,,,
-155.265638,19.401795,Volcanoes Park,,,,,,
-156.138249,20.836922,Wa Lookout,,,,,,
-156.186716,20.875481,Waikamoi Trail,,,,,,
-157.825374,21.275927,Waikiki Hyatt 2424 Kalakaua Ave; Honolulu; HI 96815; 808-923-1234 2424 Kalakaua Ave; Honolulu; HI 96815; 808-923-1234,,,,,,
-156.030359,20.683179,Wailua Falls,,,,,,
-156.147251,20.857122,Waterfall 1,,,,,,
-156.137634,20.832432,WaterFall 2,,,,,,
-156.137279,20.821977,Waterfall 3,,,,,,
-156.109153,20.80924,Waterfall 4,,,,,,
