-158.0854,21.31608,Hawaiin Waters,Barbers Point Harbor Kapolei Hawaii 800-674-9283 http://www.hawaiianwaters.com/  *** Attractions
-155.977646,19.677757,Kona Coffee Cultural Festival,Hawaii's Big Island Kailua Kona Hawaii808-326-7820 http://www.konacoffeefest.com/   *** Attractions
-157.9281,21.3491,Pearl Harbor,1 Arizona Memorial Plaza Honolulu AK 96818 808-422-0561 http://www.history.navy.mil/photos/events/wwii-pac/pearlhbr/pearlhbr.htm   *** Attractions
-155.958868,19.561911,Ali'i Mountain Course at Kona Country Club,78-7000 Alii Dr Kailua-Kona Hawaii 96740 808-332-2595 http://www.konagolf.com  ***Golf Courses
-158.198958,21.471956,Makaha Valley Country Club,84-627 Makaha Valley Rd Waianae Hawaii 96792 808-695-7111 http://www.makahavalleycc.com  ***Golf Courses
-156.526834,20.777612,Sandalwood Golf Course,2500 Honoapiilani Hwy Wailuku Hawaii 96793 808-242-7090 http://www.sandalwoodgolf.com/ ***Golf Courses
-156.47684,20.86084,Dunes at Maui Lani Golf Course,Kuihelani Hwy Kahului Hawaii 96732 808-873-7911 http:// www.dunesatmauilani.com ***Golf Courses
-157.730348,21.355252,Olomana Golf Links,41-1801 Kalanianaole Hwy Waimanalo Hawaii 96795 808-259-7926 http://www.olomanagolflinks.com ***Golf Courses
-157.790604,21.376215,Ko'olau Golf Club,45-550 Kionaole Rd Kaneohe Hawaii 96744 808-236-4653 http://www.koolaugolfclub.com ***Golf Courses
-155.7676,19.104,Baougainvillea B&B,PO Box 6045 Ocean View HI 96737 800-688-1763 http://www.hi-inns.com/bouga/index.htm *** Hotels
-155.0644,19.5459,B&B Mountian View,PO Box 963 Kurtistown HI 96760 808-968-6868 http://www.hi-inns.com/mountv/index.htm *** Hotels
-155.8967,19.3849,Bwana Bob's Hawaiian Vacation Cottage,PO Box 796 Homaunau HI 96726 808-328-8412 http://www.hawaii4two.com *** Hotels
-155.9032,19.619,Holualoa Inn,PO Box 222 Holualoa HI 96725 800-392-1812 http://www.holualoainn.com *** Hotels
-155.095155,19.72419,Shipman House B&B,131 Kaiulani St Hilo HI 96720 808-934-8002 http://www.hi-inns.com/shipman.index.htm *** Hotels
-157.9638,21.681,Turtle Bay Resort,57-091 Kemehameha Highway Oahu HI 96731 808-293-6000 http://www.turtlebayresort.com *** Hotels
-155.4644,20.0723,Waipio Way B&B,PO Box 840 Honokaa HI 96727 800-833-8849 http://www.waipiowayside.com *** Hotels
-155.88616,19.92434,Hilton Waikoloa Village,425 Waikoloa Beach Drive Waikoloa Hawaii 96738 808-886-1234 http://www.hiltonwaikoloavillage.com/ *** Spas
-155.7497,20.0018,Mauna Lani Spa at the Mauna Lani Resort,68-1365 Pauoa Rd Kohala Coast Hawaii 96743 800-367-2323 http://www.maunalani.com/ *** Spas
-156.947998,21.225901,Four Seasons Resort Hualalai,100 Kaupulehu Dr Kaupulehu/Kona Hawaii 800-332-3442 http://www.fourseasons.com/hualalai/ *** Spas
-157.831803,21.27837,SpaHalekulani at Halekulani,2199 Kalia Road Honolulu Hawaii 96815 800-367-2343 http://www.halekulani.com *** Spas
-157.812948,21.314651,Waioli Tea Room,2950 Manoa Rd Honolulu HI 96822 (808) 988-5800 http://the.honoluluadvertiser.com/article/2003/Feb/28/en/en08a.html *** Restaurants
-157.861887,21.306992,Quizno's,801 Alakea Ste #111 Honolulu HI 96813 (808) 536-2999 http://www.quiznos.com/ *** Restaurants
-159.364352,21.972223,Garden Island BBQ & Chinese Restaurant,4252 Rice St Lihue  HI 96766 (808) 245-8868 http://kauai.101thingstodo.com/guide/thingstodo/dining/restaurants.php?restID=HIRES030501 *** Restaurants
-159.390759,21.969056,Gaylord's at Kilohana,3-2087 Kaumualii Hwy. Lihue  HI 96766 (808) 245-9593 http://www.gaylordskauai.com/index.cfm *** Restaurants
-156.3268,20.7413,Maui's Winery (Tedeschi Vineyards),P.O. Box 953 Ulupalakua HI 96790 877-878-6058 http://www.mauiwine.com/ *** Wineries/Breweries
-157.850534,21.292019,Brew Moon,1200 Ala Moana Blvd Honolulu Hawaii 96814 808-593-0088 http://www.brewmoon.com/ *** Wineries/Breweries
-157.704972,21.276321,Kona Brewing Company,7192 Kalanianaole Highway Honolulu Hawaii 96825 808-394-5662 http://www.konabrewingco.com *** Wineries/Breweries
-155.1797,19.4739,Volcano Winery,35 Pii Mauna Drive Volcano HI 96785 808-967-7772 http://www.volcanowinery.com/ *** Wineries/Breweries
-156.465455,20.891899,Paper Airplane Museum,70 E. Ka'ahumanu Ave. Kahului HI 808-877-8916  *** Attractions
-155.92048,19.52084,World's Most Scenic Urinal,76-5908 Mamalahoa Hwy Kealakekua HI 808-324-1155 *** Attractions
-158.038402,21.52557,World's Largest Hedge Maze,64-1550 Kamehameha Hwy Wahiawa HI 808-621-8408  *** Attractions
-157.858364,21.315594,Foster Botanical Garden,50 N. Vineyard Blvd. Honolulu HI 808/522-7060 co.honolulu.hi.us/parks/hbg/fbg.htm
-157.88776,21.33282,Waimea Valley Audubon Center,59-864 Kamehameha Hwy. Honolulu HI 808/638-9199 audubon.org
-157.859795,21.306538,Iolani Palace,364 S. King St.Honolulu HI 808/522-0832 iolanipalace.org
-157.858776,21.304548,Kawaiahao Church,957 Punchbowl St. Honolulu HI 808/522-1333
-157.843878,21.311567,National Memorial Cemetery of the Pacific,2177 Puowaina Dr. Honolulu HI 808/532-3720
-158.01209,21.385798,Hawaii's Plantation Village,94-695 Waipahu St. Waipahu HI 808/677-0110 hawaiiplantationvillage.org
-157.869396,21.333066,Bishop Museum,1525 Bernice St. Honolulu HI 808/847-3511
-157.937463,21.366446,USS Arizona Memorial,1 Arizona Memorial Pl. Honolulu HI 808/422-0561
-155.881076,19.418295,South Kona Fruit Stand,84-4770 Mamalahoa Hwy. Captain Cook HI 808/328-8547
-155.995168,19.64335,Kona Tacos,75-5595 Palani Rd. Kailua-Kona HI 808/329-9049
-159.670837,21.958202,Daniel Thiebaut,65-1259 Kawaihae Rd. Waimea HI 808/887-2200
-155.070245,19.725163,Nihon Restaurant,123 Lihiwai St. Hilo HI 808/969-1133
-155.238037,19.431332,Volcano Winery,35 Pii Mauna Dr. Volcano HI 808/967-7772
