ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2019,"2019",77274381,377633,"United States","01000US","united-states",0.6399214141224628
0,"Owner Occupied",2019,"2019",5058841,30826,"Florida","04000US12","florida",0.6539086911061357
0,"Owner Occupied",2019,"2019",451932,4330,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl",0.5115987375646953
0,"Owner Occupied",2019,"2019",1731,244,"Brownsville, FL","16000US1209000","brownsville-fl",0.32067432382363836
0,"Owner Occupied",2019,"2019",11373,590,"Coral Gables, FL","16000US1214250","coral-gables-fl",0.6346186038725518
0,"Owner Occupied",2019,"2019",5018,260,"Coral Terrace, FL","16000US1214412","coral-terrace-fl",0.6719335832886985
0,"Owner Occupied",2019,"2019",602,109.99999999999999,"El Portal, FL","16000US1220650","el-portal-fl",0.8292011019283747
0,"Owner Occupied",2019,"2019",172,82,"Fisher Island, FL","16000US1222375","fisher-island-fl",0.8730964467005076
0,"Owner Occupied",2019,"2019",1208,160,"Gladeview, FL","16000US1225987","gladeview-fl",0.3010216795414902
0,"Owner Occupied",2019,"2019",34067,1103,"Hialeah, FL","16000US1230000","hialeah-fl",0.45691331697045295
0,"Owner Occupied",2019,"2019",52411,1480,"Miami, FL","16000US1245000","miami-fl",0.29648087703717113
0,"Owner Occupied",2019,"2019",15856,660,"Miami Beach, FL","16000US1245025","miami-beach-fl",0.3659696256289526
0,"Owner Occupied",2019,"2019",2862,232.99999999999997,"Miami Shores, FL","16000US1245175","miami-shores-fl",0.88854393045638
0,"Owner Occupied",2019,"2019",1082,182,"North Bay Village, FL","16000US1249225","north-bay-village-fl",0.31842260153031193
0,"Owner Occupied",2019,"2019",5780,417,"West Little River, FL","16000US1276487","west-little-river-fl",0.605679555695274
0,"Owner Occupied",2019,"2019",1443,192,"West Miami, FL","16000US1276525","west-miami-fl",0.5482522796352584
0,"Owner Occupied",2019,"2019",1262225,8683,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl",0.5932855060617612
0,"Owner Occupied",2018,"2018",76444810,367132,"United States","01000US","united-states",0.6384759732320674
0,"Owner Occupied",2018,"2018",4954601,29239,"Florida","04000US12","florida",0.6500599599042741
0,"Owner Occupied",2018,"2018",449056,4208,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl",0.5161260661731324
0,"Owner Occupied",2018,"2018",1700,225.99999999999997,"Brownsville, FL","16000US1209000","brownsville-fl",0.31942878617061254
0,"Owner Occupied",2018,"2018",11402,479,"Coral Gables, FL","16000US1214250","coral-gables-fl",0.6398428731762065
0,"Owner Occupied",2018,"2018",5024,267,"Coral Terrace, FL","16000US1214412","coral-terrace-fl",0.6770889487870619
0,"Owner Occupied",2018,"2018",598,93,"El Portal, FL","16000US1220650","el-portal-fl",0.7746113989637305
0,"Owner Occupied",2018,"2018",53,54,"Fisher Island, FL","16000US1222375","fisher-island-fl",1
0,"Owner Occupied",2018,"2018",1152,160,"Gladeview, FL","16000US1225987","gladeview-fl",0.2906888720666162
0,"Owner Occupied",2018,"2018",33302,867,"Hialeah, FL","16000US1230000","hialeah-fl",0.4580553759817339
0,"Owner Occupied",2018,"2018",50887,1472,"Miami, FL","16000US1245000","miami-fl",0.2975221590776211
0,"Owner Occupied",2018,"2018",16708,660,"Miami Beach, FL","16000US1245025","miami-beach-fl",0.37730054422690423
0,"Owner Occupied",2018,"2018",2897,216,"Miami Shores, FL","16000US1245175","miami-shores-fl",0.8881054567749846
0,"Owner Occupied",2018,"2018",1157,225,"North Bay Village, FL","16000US1249225","north-bay-village-fl",0.3359465737514518
0,"Owner Occupied",2018,"2018",5507,353,"West Little River, FL","16000US1276487","west-little-river-fl",0.5766492146596859
0,"Owner Occupied",2018,"2018",1406,190,"West Miami, FL","16000US1276525","west-miami-fl",0.5734094616639478
0,"Owner Occupied",2018,"2018",1248511,8254,"Miami-Fort Lauderdale-West Palm Beach, FL","31000US33100","miami-fort-lauderdale-west-palm-beach-fl",0.5944285608861359
0,"Owner Occupied",2017,"2017",75833135,358989,"United States","01000US","united-states",0.6381868060589238
0,"Owner Occupied",2017,"2017",4868827,29492,"Florida","04000US12","florida",0.648236385553654
0,"Owner Occupied",2017,"2017",448011,4291,"Miami-Dade County, FL","05000US12086","miami-dade-county-fl",0.5219815237058846
0,"Owner Occupied",2017,"2017",1675,185,"Brownsville, FL","16000US1209000","brownsville-fl",0.3221773417964993
